subject	item	sentcond	questcond	dependnum	starttime	endtime	subresp	correctresp	accuracy
1	122	 9	 9	1	2668099	2671429	0	0	1
1	121	 9	 9	1	2678589	2680902	0	0	1
1	123	 9	 9	1	2686574	2688279	1	1	1
1	13	 1	 1	1	2730137	2733457	1	1	1
1	12	 1	 1	1	2747121	2749866	0	0	1
1	4	 1	 1	1	2762865	2766290	1	1	1
1	10	 1	 1	1	2808776	2811340	1	1	1
1	6	 1	 1	1	2818281	2819518	0	0	1
1	8	 1	 1	1	2834296	2837408	1	1	1
1	7	 1	 1	1	2885383	2888093	1	1	1
1	2	 1	 1	1	2907930	2911120	1	1	1
1	11	 1	 1	1	2920588	2922734	0	0	1
1	1	 1	 1	1	2936930	2938818	0	0	1
1	9	 1	 1	1	2951643	2953652	1	1	1
1	5	 1	 1	1	2971070	2973096	0	0	1
1	3	 1	 1	1	2977950	2979089	0	0	1
1	41	 2	 2	1	2985364	2987641	1	1	1
1	42	 2	 2	1	2993580	2994827	1	1	1
1	43	 2	 2	1	3001532	3004868	0	0	1
1	45	 2	 2	1	3051451	3052936	0	0	1
1	91	 3	 3	1	3067633	3070311	1	1	1
1	49	 2	 2	1	3083616	3086370	0	0	1
1	87	 3	 3	1	3091643	3093754	1	1	1
1	83	 3	 3	1	3099133	3101538	1	1	1
1	51	 2	 2	1	3123959	3126075	1	1	1
1	50	 2	 2	1	3146982	3148545	1	1	1
1	89	 3	 3	1	3174410	3175703	0	0	1
1	53	 2	 2	1	3214764	3217228	0	0	1
1	93	 3	 3	1	3229790	3231886	1	1	1
1	85	 3	 3	1	3241336	3243322	0	0	1
1	82	 3	 3	1	3271552	3274047	0	0	1
1	47	 2	 2	1	3278945	3282902	1	1	1
1	88	 3	 3	1	3304926	3306143	0	0	1
1	90	 3	 3	1	3319378	3321745	1	1	1
1	81	 3	 3	1	3333039	3333920	0	0	1
1	92	 3	 3	1	3379760	3381622	0	0	1
1	86	 3	 3	1	3397636	3399326	1	1	1
1	44	 2	 2	1	3420064	3421426	0	0	1
1	48	 2	 2	1	3432146	3433232	0	0	1
1	52	 2	 2	1	3438805	3441441	1	1	1
1	46	 2	 2	1	3447411	3449359	0	0	1
1	84	 3	 3	1	3467073	3468819	1	1	1
2	122	 9	 9	1	7834187	7837629	0	0	1
2	121	 9	 9	1	7857234	7858956	0	0	1
2	123	 9	 9	1	7871143	7872894	1	1	1
2	1	 2	 2	1	7884638	7886880	0	0	1
2	2	 2	 2	1	7894638	7897192	1	1	1
2	3	 2	 2	1	7903885	7905242	0	0	1
2	51	 3	 3	1	7926589	7929313	1	1	1
2	9	 2	 2	1	7965201	7966805	1	1	1
2	10	 2	 2	1	7978396	7979804	1	1	1
2	50	 3	 3	1	7985607	7986598	1	1	1
2	11	 2	 2	1	7997728	7998683	0	0	1
2	5	 2	 2	1	8024633	8025713	0	0	1
2	46	 3	 3	1	8038764	8039946	0	0	1
2	44	 3	 3	1	8054645	8055738	0	0	1
2	45	 3	 3	1	8084523	8085487	0	0	1
2	6	 2	 2	1	8103107	8104331	0	0	1
2	53	 3	 3	1	8172204	8180061	1	0	0
2	43	 3	 3	1	8210306	8211259	0	0	1
2	41	 3	 3	1	8221373	8223151	1	1	1
2	8	 2	 2	1	8239907	8241100	1	1	1
2	48	 3	 3	1	8290353	8291238	0	0	1
2	7	 2	 2	1	8296932	8298909	1	1	1
2	47	 3	 3	1	8317415	8319613	1	1	1
2	13	 2	 2	1	8335217	8336684	1	1	1
2	49	 3	 3	1	8346974	8349071	0	0	1
2	12	 2	 2	1	8356061	8357323	0	0	1
2	4	 2	 2	1	8368522	8369961	1	1	1
2	42	 3	 3	1	8386615	8387492	1	1	1
2	52	 3	 3	1	8396451	8400596	0	1	0
2	84	 1	 1	1	8415656	8416559	1	1	1
2	91	 1	 1	1	8425974	8426724	1	1	1
2	86	 1	 1	1	8452224	8453174	1	1	1
2	88	 1	 1	1	8459617	8461215	1	0	0
2	83	 1	 1	1	8506294	8507821	1	1	1
2	92	 1	 1	1	8524875	8525844	0	0	1
2	93	 1	 1	1	8556812	8557886	1	1	1
2	90	 1	 1	1	8562475	8564454	1	1	1
2	85	 1	 1	1	8574091	8575285	0	0	1
2	87	 1	 1	1	8586626	8587570	1	1	1
2	89	 1	 1	1	8602189	8602974	0	0	1
2	81	 1	 1	1	8609598	8611034	0	0	1
2	82	 1	 1	1	8621979	8623255	0	0	1
3	123	 9	 9	1	10840260	10841542	1	1	1
3	122	 9	 9	1	10858221	10860070	0	0	1
3	121	 9	 9	1	10865067	10866174	0	0	1
3	52	 1	 1	1	10918915	10920449	1	1	1
3	47	 1	 1	1	10955083	10956892	1	1	1
3	44	 1	 1	1	10962736	10964036	0	0	1
3	41	 1	 1	1	10969912	10971277	1	1	1
3	51	 1	 1	1	11001124	11002841	1	1	1
3	42	 1	 1	1	11014423	11015688	1	1	1
3	43	 1	 1	1	11027599	11028770	0	0	1
3	45	 1	 1	1	11033657	11034545	0	0	1
3	49	 1	 1	1	11046308	11047162	0	0	1
3	48	 1	 1	1	11063593	11064852	0	0	1
3	50	 1	 1	1	11091421	11093102	1	1	1
3	53	 1	 1	1	11097740	11098503	0	0	1
3	46	 1	 1	1	11104122	11108704	0	0	1
3	81	 2	 2	1	11128141	11129151	0	0	1
3	82	 2	 2	1	11136625	11137587	0	0	1
3	83	 2	 2	1	11142997	11144354	1	1	1
3	4	 3	 3	1	11151020	11152382	1	1	1
3	10	 3	 3	1	11160685	11161948	1	1	1
3	92	 2	 2	1	11168316	11169467	0	0	1
3	6	 3	 3	1	11202199	11203461	0	0	1
3	9	 3	 3	1	11273392	11275243	1	1	1
3	3	 3	 3	1	11435778	11436567	0	0	1
3	84	 2	 2	1	11478142	11479764	1	1	1
3	91	 2	 2	1	11494986	11496117	1	1	1
3	12	 3	 3	1	11513631	11514829	0	0	1
3	8	 3	 3	1	11521041	11522718	1	1	1
3	89	 2	 2	1	11536610	11537559	0	0	1
3	87	 2	 2	1	11543395	11544113	1	1	1
3	86	 2	 2	1	11575725	11577145	1	1	1
3	11	 3	 3	1	11587706	11588995	0	0	1
3	7	 3	 3	1	11593754	11595675	1	1	1
3	1	 3	 3	1	11609636	11610645	0	0	1
3	13	 3	 3	1	11619102	11619828	1	1	1
3	85	 2	 2	1	11625041	11626514	0	0	1
3	88	 2	 2	1	11653823	11654696	0	0	1
3	2	 3	 3	1	11666462	11667863	1	1	1
3	90	 2	 2	1	11687237	11688810	1	1	1
3	93	 2	 2	1	11694019	11695117	1	1	1
3	5	 3	 3	1	11703746	11704833	0	0	1
4	122	 9	 9	1	13573856	13577277	0	0	1
4	123	 9	 9	1	13590295	13591274	1	1	1
4	121	 9	 9	1	13612018	13612966	0	0	1
4	41	 2	 2	1	13622597	13624502	1	1	1
4	42	 2	 2	1	13632944	13635240	1	1	1
4	43	 2	 2	1	13643855	13646367	0	0	1
4	49	 2	 2	1	13654146	13656297	0	0	1
4	46	 2	 2	1	13724130	13728205	0	0	1
4	82	 3	 3	1	13744836	13747449	0	0	1
4	47	 2	 2	1	13795919	13798994	1	1	1
4	89	 3	 3	1	13845602	13847136	0	0	1
4	44	 2	 2	1	13856226	13859415	0	0	1
4	84	 3	 3	1	13907197	13909325	1	1	1
4	53	 2	 2	1	13916561	13919620	0	0	1
4	48	 2	 2	1	13925704	13927077	0	0	1
4	86	 3	 3	1	13958414	13959793	1	1	1
4	83	 3	 3	1	13972643	13975023	1	1	1
4	93	 3	 3	1	13983987	13985945	1	1	1
4	85	 3	 3	1	14001291	14003244	0	0	1
4	50	 2	 2	1	14010695	14011832	1	1	1
4	81	 3	 3	1	14108025	14110737	0	0	1
4	91	 3	 3	1	14133248	14134431	1	1	1
4	88	 3	 3	1	14143393	14144924	0	0	1
4	45	 2	 2	1	14201481	14202984	0	0	1
4	52	 2	 2	1	14209660	14211914	1	1	1
4	90	 3	 3	1	14226434	14229106	1	1	1
4	51	 2	 2	1	14260218	14262876	1	1	1
4	87	 3	 3	1	14302120	14304607	1	1	1
4	92	 3	 3	1	14331648	14333182	0	0	1
4	3	 1	 1	1	14353951	14355577	0	0	1
4	7	 1	 1	1	14364174	14367060	1	1	1
4	11	 1	 1	1	14373963	14375874	0	0	1
4	12	 1	 1	1	14384383	14385620	0	0	1
4	5	 1	 1	1	14413185	14414295	0	0	1
4	8	 1	 1	1	14440664	14443952	1	1	1
4	13	 1	 1	1	14490848	14492367	1	1	1
4	10	 1	 1	1	14505501	14507133	1	1	1
4	6	 1	 1	1	14511906	14514750	0	0	1
4	2	 1	 1	1	14545923	14547455	1	1	1
4	4	 1	 1	1	14569923	14572017	1	1	1
4	9	 1	 1	1	14596212	14597465	1	1	1
4	1	 1	 1	1	14606192	14607700	0	0	1
5	122	 9	 9	1	7987553	7991985	0	0	1
5	123	 9	 9	1	8014620	8016464	1	1	1
5	121	 9	 9	1	8024650	8026021	0	0	1
5	81	 1	 1	1	8062423	8064715	0	0	1
5	93	 1	 1	1	8083562	8085558	1	1	1
5	87	 1	 1	1	8124763	8126750	1	1	1
5	82	 1	 1	1	8136348	8139616	0	0	1
5	83	 1	 1	1	8173510	8175672	1	1	1
5	91	 1	 1	1	8196789	8197962	1	1	1
5	86	 1	 1	1	8219814	8221082	1	1	1
5	85	 1	 1	1	8229486	8231548	0	0	1
5	84	 1	 1	1	8248346	8250121	1	1	1
5	92	 1	 1	1	8290927	8292439	0	0	1
5	88	 1	 1	1	8307195	8308529	0	0	1
5	90	 1	 1	1	8340664	8342994	1	1	1
5	89	 1	 1	1	8363302	8364436	0	0	1
5	1	 2	 2	1	8386344	8387776	0	0	1
5	2	 2	 2	1	8396828	8398893	1	1	1
5	3	 2	 2	1	8408633	8409767	0	0	1
5	41	 3	 3	1	8417212	8418706	1	1	1
5	13	 2	 2	1	8436446	8437806	1	1	1
5	6	 2	 2	1	8459577	8461073	0	0	1
5	43	 3	 3	1	8485744	8486998	0	0	1
5	12	 2	 2	1	8496597	8497513	0	0	1
5	47	 3	 3	1	8503991	8507119	1	1	1
5	49	 3	 3	1	8529176	8531860	1	0	0
5	42	 3	 3	1	8566321	8567676	1	1	1
5	11	 2	 2	1	8581996	8583527	0	0	1
5	10	 2	 2	1	8615402	8616896	1	1	1
5	45	 3	 3	1	8639637	8640746	0	0	1
5	4	 2	 2	1	8663725	8665605	1	1	1
5	8	 2	 2	1	8672051	8673632	1	1	1
5	52	 3	 3	1	8684205	8686627	1	1	1
5	44	 3	 3	1	8694741	8696033	0	0	1
5	5	 2	 2	1	8714250	8715436	0	0	1
5	9	 2	 2	1	8724450	8726501	1	1	1
5	50	 3	 3	1	8798125	8799598	1	1	1
5	46	 3	 3	1	8831087	8832640	1	0	0
5	7	 2	 2	1	8884799	8887148	1	1	1
5	53	 3	 3	1	8905457	8907189	0	0	1
5	51	 3	 3	1	8920120	8921634	1	1	1
5	48	 3	 3	1	8970634	8972053	0	0	1
6	121	 9	 9	1	4554989	4557520	0	0	1
6	122	 9	 9	1	4569239	4574272	0	0	1
6	123	 9	 9	1	4580451	4583379	1	1	1
6	81	 2	 2	1	4588655	4591614	0	0	1
6	82	 2	 2	1	4601256	4603200	0	0	1
6	83	 2	 2	1	4609982	4611687	1	1	1
6	90	 2	 2	1	4635267	4636740	1	1	1
6	88	 2	 2	1	4650476	4652321	0	0	1
6	85	 2	 2	1	4682430	4683868	0	0	1
6	12	 3	 3	1	4717869	4720003	0	0	1
6	87	 2	 2	1	4726396	4727929	1	1	1
6	13	 3	 3	1	4733408	4735098	1	1	1
6	9	 3	 3	1	4758404	4764485	1	1	1
6	2	 3	 3	1	4778213	4781200	1	1	1
6	84	 2	 2	1	4804738	4805770	1	1	1
